T1.KKD09.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KKD11.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KKD12.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KKD13.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLD02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLD03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLH01.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KLH02.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KLH03.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KLH04.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KLS01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS06.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS09.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS10.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS12.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS13.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS14.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS15.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS16.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLS17.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KLS18.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLT02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLT03.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KLT04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLT05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLT06.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLX01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLX02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMR02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMR03.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KMR04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMS01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMS02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMS03.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KMS04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMS05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMS06.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMX01.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KMX02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMX03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KMY01.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KMY02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
